S.no.,Year,State,TFR,Pop,PR,Birth,BR
94,2020,manipur,1.28,3038208,0.026777298,177721,-0.068624417
95,2020,meghalaya,1.81,3398944,0.068498039,305121,0.027949568
96,2020,mizoram,1.32,1168545,0.030606438,71307,-0.022774763
97,2020,nagaland,1.38,2158331,0.043608696,141350,-0.023424125
98,2020,nct of delhi,1.58,21361904,0.115153312,1579517,0.012422785
99,2020,odisha,1.92,46032810,0.040480866,3773941,-0.051799962
100,2020,puducherry,1.66,1477868,0.069610412,102159,-0.019450073
101,2020,punjab,1.64,30850448,0.048048087,2015835,-0.043354243
102,2020,rajasthan,2.36,80613132,0.070263068,8245192,-0.056778302
103,2020,sikkim,1.47,700184,0.064725843,49070,-0.083554106
104,2020,tamil nadu,1.76,77699059,0.02547072,5111093,-0.059360689
105,2020,tripura,1.29,4000176,0.035301447,224745,-0.06099357
106,2020,uttar pradesh,2.63,232849695,0.071809143,26699016,-0.067041422
107,2020,uttarakhand,1.89,11522451,0.062831597,971671,-0.042196381
108,2020,west bengal,1.57,99742489,0.033849426,6670931,-0.07788628
109,2025,andaman & nicobar islands,1.57,490482,0.070306352,30200,-0.020264901
110,2025,andhra pradesh,1.68,95379405,0.026447848,5904931,-0.058725834
111,2025,arunachal pradesh,1.52,1801715,0.079983238,134123,-0.058267411
112,2025,assam,2.08,37672105,0.048542788,3246335,-0.057779311
113,2025,bihar,2.33,129048226,0.063065664,13375490,-0.063229983
114,2025,chandigarh,1.5,1566027,0.105927292,101429,-0.015863313
115,2025,chhattisgarh,2.1,30762262,0.045045582,2646030,-0.040774292
116,2025,dadra & nagar haveli,2.03,572877,0.132534558,44925,-0.002181413
117,2025,daman & diu,1.76,425012,0.14405005,24027,0.04811254
118,2025,goa,1.35,1790225,0.058817188,90187,-0.016942575
119,2025,gujarat,1.84,73289340,0.045760461,5119613,-0.035539405
120,2025,haryana,1.89,32229550,0.064974689,2411490,-0.024508084
121,2025,himachal pradesh,1.71,7916035,0.038119842,498386,-0.043514465
123,2025,jammu & kashmir,1.6,14435932,0.042818365,993292,-0.033223866
124,2025,jharkhand,2.08,40201471,0.055991906,3659609,-0.056525711
125,2025,karnataka,1.72,70345237,0.031724465,4490481,-0.035642062
126,2025,kerala,1.74,36558053,0.012738206,2145771,-0.050176836
127,2025,lakshadweep,1.32,85498,0.08331189,4371,-0.031571723
128,2025,madhya pradesh,2.19,90109310,0.056523516,8160458,-0.063669343
129,2025,maharashtra,1.72,135186793,0.04946677,8726469,-0.034193326
130,2025,manipur,1.27,3119563,0.020866705,165525,-0.121884912
131,2025,meghalaya,1.74,3631765,0.064012952,313649,-0.031895527
132,2025,mizoram,1.3,1204310,0.027924704,69683,-0.069801817
133,2025,nagaland,1.35,2252453,0.039565309,138039,-0.091162642
134,2025,nct of delhi,1.54,23821798,0.100861027,1599139,-0.023917871
135,2025,odisha,1.87,47896258,0.033217543,3578451,-0.059013243
136,2025,puducherry,1.64,1580743,0.059612473,100172,-0.016092321
137,2025,punjab,1.64,32332753,0.04208358,1928440,-0.040380826
138,2025,rajasthan,2.19,86277258,0.058563625,7777044,-0.065894574
139,2025,sikkim,1.45,745504,0.053672415,44970,-0.107471648
140,2025,tamil nadu,1.76,79678110,0.01852559,4807695,-0.033953901
141,2025,tripura,1.26,4141388,0.028592105,211037,-0.103105143
142,2025,uttar pradesh,2.39,249570432,0.058863223,24909076,-0.093845954
143,2025,uttarakhand,1.85,12246425,0.054992212,930670,-0.058604016
144,2025,west bengal,1.52,103118715,0.025075642,6151357,-0.065058653
145,2030,andaman & nicobar islands,1.58,524966,0.061068717,29588,-0.010781398
146,2030,andhra pradesh,1.68,97901985,0.020725045,5558159,-0.019450685
147,2030,arunachal pradesh,1.48,1945822,0.067885963,126308,-0.086550337
148,2030,assam,1.97,39500814,0.038753227,3058764,-0.033342553
149,2030,bihar,2.13,137186738,0.051872959,12529758,-0.069721618
150,2030,chandigarh,1.48,1731912,0.091043309,99820,0.008154678
151,2030,chhattisgarh,2.04,32147966,0.036874743,2538140,-0.007722584
152,2030,dadra & nagar haveli,1.91,648803,0.113747933,44827,0.004305441
153,2030,daman & diu,1.75,486235,0.125468138,25183,0.045983402
154,2030,goa,1.35,1895521,0.052592928,88659,-0.024464521
155,2030,gujarat,1.79,76643094,0.039118162,4937665,-0.01345069
156,2030,haryana,1.85,34323655,0.057371192,2352389,0.009337741
157,2030,himachal pradesh,1.72,8217793,0.032575291,476699,-0.026387721
159,2030,jammu & kashmir,1.57,15054055,0.037459674,960291,-0.08582815
160,2030,jharkhand,1.97,42452428,0.046188901,3452747,-0.055219221
161,2030,karnataka,1.72,72576902,0.02673819,4330431,-0.009944507
162,2030,kerala,1.71,37023737,0.006415533,2038103,-0.032409059
163,2030,lakshadweep,1.31,92621,0.073007201,4233,-0.037562013
164,2030,madhya pradesh,2.06,95202605,0.045842191,7640887,-0.012315193
165,2030,maharashtra,1.71,141874047,0.04349164,8428082,-0.015346908
166,2030,manipur,1.26,3184658,0.012525992,145350,-0.131922945
167,2030,meghalaya,1.69,3864245,0.055142984,303645,-0.09357638
168,2030,mizoram,1.28,1237940,0.022247443,64819,-0.135284407
169,2030,nagaland,1.33,2341572,0.03179488,125455,-0.141293691
170,2030,nct of delhi,1.52,26224489,0.087957901,1560891,-0.005548754
171,2030,odisha,1.84,49487254,0.025839947,3367275,-0.026335241
172,2030,puducherry,1.64,1674975,0.051068225,98560,-0.000263799
173,2030,punjab,1.65,33693431,0.03693076,1850568,-0.021311835
174,2030,rajasthan,2.04,91329967,0.047848599,7264579,-0.014245423
175,2030,sikkim,1.43,785517,0.042580873,40137,-0.068415676
176,2030,tamil nadu,1.77,81154194,0.013281667,4644455,-0.007433811
177,2030,tripura,1.24,4259799,0.020371149,189278,-0.122180074
178,2030,uttar pradesh,2.2,264260952,0.044912784,22571460,-0.053963013
179,2030,uttarakhand,1.83,12919883,0.047295243,876129,-0.026651326
180,2030,west bengal,1.52,105704483,0.017602139,5751158,-0.054183349
181,2035,andaman & nicobar islands,1.6,557025,0.052757058,29269,0.010967235
182,2035,andhra pradesh,1.69,99931008,0.016851946,5450049,-0.005117385
183,2035,arunachal pradesh,1.46,2077916,0.055086442,115376,-0.057507627
184,2035,assam,1.92,41031598,0.031286644,2956777,-0.011365754
185,2035,bihar,2.02,144303020,0.041334305,11656163,-0.03680894
186,2035,chandigarh,1.48,1889591,0.079419832,100634,0.037730787
187,2035,chhattisgarh,2,33333414,0.032296572,2518539,-0.001020433
188,2035,dadra & nagar haveli,1.82,722603,0.099039168,45020,0.017836517
189,2035,daman & diu,1.75,547242,0.110391746,26341,0.040431267
190,2035,goa,1.36,1995212,0.046082822,86490,-0.016036536
